Unnamed: 0,Item,Shape,Color,Stock Pcs.,Stock Wt.,Description,Cp Std,Size,Origin,Gem Type
1.0,BRD00001105,RD,Brown,1.0,1.05,Brown Sapphire Round 6.80,41.0,06.80,,Sapp
1.0,ECU00001300,CUS,Green,1.0,3.0,Zambian emerald cushion 9.2 x 7.4,100.0,09.20 x 07.40,Zambia,Emld
1.0,ECU00002266,CUS,Green,1.0,2.66,Zambian emerald cushion 10.0x7.4,100.0,10.00 x 07.40,Zambia,Emld
1.0,ECU00003239,CUS,Green,1.0,2.39,Zambian emerald cushion 10.0x7.2,100.0,10.00 x 07.20,Zambia,Emld
1.0,ECU00004218,CUS,Green,1.0,2.18,Zambian emerald cushion 8.4 X 7.3,100.0,08.40 x 07.30,Zambia,Emld
1.0,ECU00005195,CUS,Green,1.0,1.95,Zambian emerald cushion 8.7 x 6.6,100.0,08.70 x 06.60,Zambia,Emld
1.0,ECU00006192,CUS,Green,1.0,1.92,Zambian emerald cushion 9.4x7.1,100.0,09.40 x 07.10,Zambia,Emld
1.0,ECU00007189,CUS,Green,1.0,1.89,Zambian emerald cushion 8.8 x 6.4,100.0,08.80 x 06.40,Zambia,Emld
1.0,ECU00009592,CUS,Green,1.0,5.92,Zambian emerald cushion 12.07 x 10.0,45.0,12.07 x 10.00,Zambia,Emld
1.0,ECU00011531,CUS,Green,1.0,5.31,"Zambian Emerald cushion 12.13 x 9.70 x 6.84 mm, 5.31 carats , F1, GIA Report Number: 5241031965",1500.0,12.13 x 09.70,Zambia,Emld
1.0,EEC000011032,E/C,Green,1.0,10.32,Zambian emerald cut 16.8 x 12.7,100.0,16.80 x 12.70,Zambia,Emld
1.0,EEC00001486,S.E/C,Green,1.0,4.86,Green Emerald S.E/C 11.5 x 8.2,280.0,11.50 x 08.20,,Emld
1.0,EEC00002975,E/C,Green,1.0,9.75,Zambian emerald cut 13.9 x 12.0,280.0,13.90 x 12.00,Zambia,Emld
1.0,EEC00003573,S.E/C,Green,1.0,5.73,Zambian square emerald cut 11 x 11,100.0,11.00 x 11.00,Zambia,Emld
1.0,EEC00003975,E/C,Green,1.0,9.75,Zambian emerald cut 14.1 x 11.6,100.0,14.10 x 11.60,Zambia,Emld
1.0,EEC00004828,E/C,Green,1.0,8.28,Green Emerald E/C 12.76 x 9.85MM,190.0,12.76 x 09.85,,Emld
1.0,EEC00005431,SQ,Green,1.0,4.31,Emerald Square 9.7 x 9.6,100.0,09.70 x 09.60,,Emld
1.0,EEC00005828,E/C,Green,1.0,8.28,Zambian emerald cut 14.3 x 9.9,130.0,14.30 x 09.90,Zambia,Emld
1.0,EEC00006391,S.E/C,Green,1.0,3.91,Green Emerald S.E/C 10.17x10.17MM,230.0,10.17 x 10.17,,Emld
1.0,EEC00006733,E/C,Green,1.0,7.33,"Green Emerald E/C 10.0x13.3MM                                                                                          GIA CERTIFIED ""F1"" STONE & REPOET NUMBER:-2231653894",230.0,13.30 x 10.00,,Emld
1.0,EEC00007389,S.E/C,Green,1.0,3.89,Zambian square emerald cut 8.4 x 7.8,100.0,08.40 x 07.80,Zambia,Emld
1.0,EEC00007610,E/C,Green,1.0,6.1,Zambian emerald cut 12.3 x 8.7,100.0,12.30 x 08.70,Zambia,Emld
1.0,EEC00008306,S.E/C,Green,1.0,3.06,Zambian square emerald cut 8.6 x 7.7,100.0,08.60 x 07.70,Zambia,Emld
1.0,EEC00008596,E/C,Green,1.0,5.96,Zambian emerald cut 12.1 x 9.2,100.0,12.10 x 09.20,Zambia,Emld
1.0,EEC00009263,S.E/C,Green,1.0,2.63,Zambian square emerald cut 9.0 x 7.9,210.0,09.00 x 07.90,Zambia,Emld
1.0,EEC00009544,E/C,Green,1.0,5.44,Zambian emerald cut 10.8 x 8.8,100.0,10.80 x 08.80,Zambia,Emld
1.0,EEC00010235,S.E/C,Green,1.0,2.35,Zambian square emerald cut 8.00,100.0,08.00,Zambia,Emld
1.0,EEC00010511,E/C,Green,1.0,5.11,Green Emerald E/C 13.5x8.0MM,230.0,13.50 x 08.00,,Emld
1.0,EEC00011700,E/C,Green,1.0,7.0,Green Emerald E/C 10.95 x 10.7,230.0,10.95 x 10.70,,Emld
1.0,EEC00012119,SQ,Green,1.0,1.19,Emerald square 6.2 x 6.2,10.0,06.20 x 06.20,,Emld
1.0,EEC00012422,E/C,Green,1.0,4.22,Zambian emerald cut 12.8 x 9.0,100.0,12.80 x 09.00,Zambia,Emld
